feature,dtype,count,null_count,null_pct,mean,std,min,max,median
latency_variance_score,float64,3970,0,0.00%,0.5830231409911596,1.265781951641934,-0.30177603755348453,7.773130097876547,0.0
mean_text_length,float64,3970,0,0.00%,-5.458829582036034e-17,1.0001259683824357,-0.5660685858498992,29.569649769574273,-0.18380986054273274
std_text_length,float64,3970,0,0.00%,3.579560381662973e-18,1.000125968382436,-0.6003272946293761,26.807327186341965,-0.24497721425469282
unique_comment_ratio,float64,3970,0,0.00%,0.0,0.0,0.0,0.0,0.0
max_duplicate_count,float64,3970,0,0.00%,3.848027410287696e-17,1.000125968382436,-0.22171277343426476,19.865832487715824,-0.22171277343426476
total_duplicates,float64,3970,0,0.00%,-1.1633571240404663e-17,1.000125968382436,-0.24787180845699888,16.128896035657398,-0.24787180845699888
circular_mean_hour,float64,3970,0,0.00%,-1.1454593221321514e-16,1.0001259683824357,-1.560353797224921,1.4382027643679838,0.21215770437714127
mean_hour_deviance,float64,3970,0,0.00%,1.736086785106542e-16,1.000125968382436,-1.3737130345248085,2.5370296354240898,-0.08186929141392482
std_hour_deviance,float64,3970,0,0.00%,1.217050529765411e-16,1.0001259683824357,-1.2147790919480497,3.467326912203938,-0.16470001988786148
commentCount,float64,3970,0,0.00%,-6.532697696534926e-17,1.0001259683824357,-0.5978505922601076,8.63181756191708,-0.3094234624420706
unique_channel_count,float64,3970,0,0.00%,0.11498740554156171,0.17433836294610663,0.0,1.0,0.0
