feature,dtype,count,null_count,null_pct,mean,std,min,max,median
latency_variance_score,float64,43137,0,0.00%,0.007066964772803481,0.09388301629331026,-0.010982912509834849,7.5305902277150425,0.0
unique_comment_ratio,float64,43137,0,0.00%,0.0,0.0,0.0,0.0,0.0
max_duplicate_count,float64,43137,0,0.00%,0.00653083915381736,0.07553320175935903,0.0,2.4849066497880004,0.0
total_duplicates,float64,43137,0,0.00%,0.01558688228248523,0.16481743402862178,0.0,3.5553480614894135,0.0
circular_mean_hour,float64,43137,0,0.00%,-0.1562781898657308,2.4772636682770863,-14.186917993586583,9.813082006413417,0.0
mean_hour_deviance,float64,43137,0,0.00%,0.011624097074794752,0.4694511856320294,-1.9930014487146264,4.040325606761357,0.0
std_hour_deviance,float64,43137,0,0.00%,0.021278198270501782,0.43108151671162137,-1.4740853652303274,5.098585324831663,0.0
unique_channel_count,float64,43137,0,0.00%,0.04233025013329624,0.2498471789617406,0.0,4.0,0.0
reply_count,float64,43137,0,0.00%,0.5755847648190648,2.179990851798671,0.0,64.0,0.0
toplevel_count,float64,43137,0,0.00%,0.30468043674803535,1.8765608304417456,-2.0,56.0,0.0
reply_ratio,float64,43137,0,0.00%,0.23917166428339792,1.100697453362464,0.0,40.0,0.0
communityId,float64,43137,0,0.00%,18.479820108027912,10.239147883206215,0.0,60.0,19.0
communitySize,float64,43137,0,0.00%,1677.2169599183994,834.5579486422016,1.0,3164.0,1730.0
temporal_cocomment_partners,float64,43137,0,0.00%,-2.4575880607229744e-16,1.000011591179113,-4.968923857329521,94.06060717070233,-0.017447305927928522
temporal_cocomment_total,float64,43137,0,0.00%,-2.5597130337556984e-16,1.000011591179113,-4.386069615931967,94.59249084509885,-0.019368419121783144
temporal_cocomment_mean,float64,43137,0,0.00%,4.551150007893819e-16,1.000011591179113,-0.030889911166503924,68.1379400364618,-0.030889911166503924
temporal_cocomment_max,float64,43137,0,0.00%,1.592490708516737e-15,1.0000115911791132,-0.033685577746468166,58.87556174317783,-0.033685577746468166
