userId,umap_1,umap_2
UC--FsVX4q4Ek_2DD89J5cOg,10.647578,2.8704677
UC-1YF8d0KYSg3ksrpQJi3Kw,13.964284,6.32174
UC-3Nj6oYW1QqHjBmm3iL-oQ,3.7761035,-2.1132088
UC-3PP_G2wsXPI0In8hr1z4A,-3.000713,3.248418
UC-3rwZnz8xmpX4wByAA5CQw,8.47012,-7.0917025
UC-4JFXwbKLjHEpRYu22yROQ,-2.8716054,-1.483523
UC-7-qCkA4GVQznRkXeop4Lw,2.589669,-5.094133
UC-7CsrBveGCDiDQtCSi75NA,-1.2831894,-4.445542
UC-7UGGUfegIlYvAMQEEZoWA,-2.0727272,7.7534747
UC-8JKGrT19vvhAvsSxAYjSQ,6.9801507,6.931572
UC-8SI97g7bH6iCOyRhC6Emg,-0.36081222,7.047575
UC-9oSS0x2AoD2EC2WWP6XgA,-2.9041467,-4.109125
UC-AAsyvqCmt4FS4x02OFxxQ,1.8364812,0.8541139
UC-AbeGBC9-f2huFbou2g-zQ,-4.05828,-2.7076964
UC-B97mdpY4nQf6U5g5sLgAw,-4.774586,10.167988
UC-BU1Oft2db2OJGvjJu0cVQ,-3.7011836,0.11889444
UC-E_u0tONL7jX233EX8yy1A,4.2467012,-2.510078
UC-EzdIsompamqS86hM6BoFw,-5.7941957,3.2723892
UC-ISj9vvmY4p2GaXHlCJrtw,-1.5722992,8.758418
UC-JVRGWnjzZuEGi88c9eLAA,10.885652,4.4151883
UC-LDOX6xdSyeUiFMggIRC0w,7.1437373,-5.2461596
UC-NuZui4n3wDtTmgMBKT9Sg,3.4924643,-2.3824322
UC-Nw5S0c6bq3ldlu9CT-GHw,0.3020428,7.465108
UC-OYdlMvgSQIzV9mhqVLnRg,-0.76369315,-4.8736777
UC-PDPi-5c3jTo6E1lizbJFg,3.7402625,5.960972
UC-PETw1P1_voShih9WRmkMg,-4.3204074,6.6888404
UC-RAnK0D2x7DewvatyRqcHQ,-4.4976745,4.880089
UC-S7pAVa8NuLbGZRT--xCBg,-3.8556843,0.5934866
UC-T9vpeDnjGxmKSzIiM920A,-2.623987,3.1673388
UC-TdHGwX918DS0qknMVDUUQ,-4.456128,6.170223
UC-UGpuEQAvfwbzcdAWvBLeA,5.9726024,7.0743337
UC-W82dsdqQfqgyuHRSalQBw,-4.4354205,6.197043
UC-WgwqxLnjpffl0hPn3hS-g,13.951496,6.12453
UC-XCNEk1uZcaM4h-rNp-3cw,-1.8660679,9.159081
UC-XFuI62LLtCjTXM2Kd74Xg,-2.52484,10.607998
UC-XRuhdgwtAU3ZPyHp8v3ZA,-5.120684,10.677129
UC-XwCzDwf3LWXpkMYHQ2RlQ,-3.7901168,10.181681
UC-ZDi9r-41GiPdxTe3HwebA,-3.3277535,3.805825
UC-_rI_t4-KRvrbgWFEZa5uA,-0.36571404,5.6026173
UC-aQ1VwwK6EsHxkO2s4MQ1Q,-0.09628965,0.564208
UC-bNysdfGc8M00JORt9wFSw,4.118428,8.907513
UC-bPEgY4UCenObQ02iWK0cQ,1.1987467,7.4729013
UC-bu3cnBZmFtmOd3JOlhtng,-1.7985642,-3.120396
UC-dRtPqdUtIYwsYfxnp_t4g,-1.067493,8.834835
UC-dXrO29mz1F846RHJAPS-Q,8.725086,-6.807639
UC-dtn_v6-lmpa6j7Vwl-BgQ,12.425317,4.3381724
UC-edhzZuiP2P19s_tu88CQg,2.8009222,5.1729903
UC-gCpMc94-3CWd9MJw107_w,0.43634376,-0.06467488
